iter	RMSE
0	822.0425005
1	799.6881659
2	791.6649302
3	783.9170981
4	777.1694433
5	772.7219432
6	768.3554015
7	764.745553
8	762.4526563
9	760.7966622
10	757.9392362
11	755.8296882
12	753.789667
13	751.3877564
14	749.7046785
15	748.0924817
16	744.3415868
17	742.7382808
18	741.187077
19	738.9660207
20	737.5879886
21	736.2959118
22	734.6080459
23	732.9685875
24	730.3114821
25	729.0332003
26	727.3816327
27	726.1890719
28	725.3510546
29	723.479662
30	722.6101031
31	721.7051179
32	720.6435631
33	719.5968221
34	717.8940448
35	716.5611403
36	715.3486815
37	714.3252784
38	713.0583757
39	711.840409
40	710.1939005
41	709.3544888
42	708.4319268
43	707.4170954
44	706.5638052
45	705.94539
46	705.1251205
47	704.3070433
48	703.545372
49	702.6915818
50	701.5794413
51	700.8160753
52	699.6931246
53	698.6170164
54	698.1125611
55	697.2946434
56	696.4108256
57	695.4459145
58	694.602949
59	693.6149365
60	692.6632951
61	691.7661409
62	690.7964648
63	690.0142465
64	689.510841
65	688.7413357
66	687.3246121
67	686.3468564
68	685.6506851
69	684.8776203
70	684.1445915
71	683.5126715
72	682.6090145
73	681.6624091
74	681.3278683
75	680.5492237
76	679.6359368
77	678.4956191
78	677.8874634
79	677.2539436
80	676.4533331
81	675.8526328
82	675.3492831
83	674.6352953
84	674.5719431
85	673.710805
86	672.7215504
87	672.0331023
88	671.0545327
89	670.6729283
90	669.9320418
91	669.2924887
92	668.566938
93	667.7651672
94	666.8116685
95	666.1857059
96	665.3892914
97	664.8379883
98	664.1383618
99	663.3893689
100	662.6206284
101	662.2713386
102	661.5936514
103	660.9738858
104	660.3397829
105	659.5307546
106	658.641466
107	657.8485212
108	657.0941971
109	656.7195374
110	656.2462691
111	655.6017079
112	654.5213138
113	654.1106266
114	653.6089103
115	653.0635578
116	652.0164446
117	651.5472565
118	650.9632339
119	650.2257448
120	649.5821998
121	648.8551193
122	648.1257916
123	647.6802301
124	647.0792701
125	646.2274508
126	645.5738039
127	645.2205401
128	644.6653546
129	644.1328218
130	643.5577884
131	643.1922374
132	642.5164873
133	641.9414017
134	641.5754294
135	641.0305832
136	640.306603
137	639.6530483
138	639.0378219
139	638.3351956
140	637.2283694
141	636.7711352
142	636.0971358
143	635.3321987
144	634.9214596
145	634.4766741
146	633.9062018
147	633.250089
148	632.7638914
149	632.0731577
150	631.4663571
151	630.8192734
152	630.358407
153	629.9387346
154	629.4096859
155	628.8102528
156	628.272081
157	628.2417621
158	627.7096095
159	626.969456
160	626.4847052
161	625.8637649
162	625.398142
163	624.6569618
164	624.0995793
165	623.638452
166	622.7160303
167	622.1486278
168	621.5273447
169	620.7587899
170	620.1071797
171	619.5009845
172	618.9979867
173	618.4619959
174	617.8972735
175	617.3378491
176	616.6201279
177	616.1080972
178	615.4417457
179	614.9004445
180	614.0744245
181	613.5310572
182	613.0337306
183	612.4322857
184	612.1067999
185	611.2248609
186	610.5956808
187	609.9615398
188	609.3364014
189	608.6275462
190	608.3029396
191	608.0608323
192	607.6282432
193	607.2447215
194	606.6924814
195	606.2506242
196	605.592235
197	604.9058782
198	604.3011968
199	603.9644985
200	603.4604893
201	603.1418987
202	602.6996779
203	602.0197918
204	601.3748211
205	600.878052
206	600.0446362
207	599.5686452
208	599.3664424
209	598.9489937
210	598.5331259
211	597.9673652
212	597.5275591
213	596.850557
214	596.5721577
215	595.9954613
216	595.6946757
217	595.0942751
218	594.2314215
219	593.7857224
220	593.2546968
221	592.5680994
222	592.3095322
223	592.0128616
224	591.2109322
225	590.4541624
226	589.9179908
227	589.5766057
228	588.783871
229	588.121321
230	587.5739702
231	587.3388319
232	586.9783036
233	586.4159738
234	586.0430811
235	585.7896895
236	585.0261238
237	584.580127
238	584.169738
239	583.8641727
240	583.4611724
241	582.962015
242	582.2619191
243	581.8989383
244	581.3056189
245	580.7917362
246	580.298886
247	579.8661231
248	579.4959985
249	579.08063
250	578.7363733
251	578.2551772
252	577.8807818
253	577.5503358
254	577.0329148
255	576.4526866
256	576.0736433
257	575.5537197
258	575.1069015
259	574.4890675
260	573.9524144
261	573.7122195
262	573.310741
263	572.9612528
264	572.5505283
265	572.0575504
266	571.6571221
267	571.1633041
268	570.7154687
269	570.1345642
270	569.5847467
271	569.1667062
272	568.7382006
273	568.4408359
274	568.2121693
275	567.6753365
276	567.4391678
277	566.9393195
278	566.5503087
279	566.07354
280	565.7826885
281	565.2395143
282	565.0390691
283	564.6287749
284	564.181633
285	563.9932134
286	563.4648273
287	563.3020861
288	562.9508547
289	562.6074104
290	562.1525484
291	561.7592439
292	561.2780609
293	560.8423094
294	560.5529222
295	560.2150178
296	559.8185681
297	559.5426525
298	559.0624349
299	558.6687709
300	558.163549
301	557.9388002
302	557.5820186
303	557.3039173
304	557.0117993
305	556.7745484
306	556.5645259
307	556.2771178
308	555.8353311
309	555.2373519
310	554.6951693
311	554.3980967
312	554.0266723
313	553.6039123
314	553.0578493
315	552.8296445
316	552.27967
317	551.8592952
318	551.4317733
319	551.1113863
320	550.8766994
321	550.2558121
322	549.5775091
323	549.2257607
324	548.8527712
325	548.627225
326	548.0279626
327	547.6219746
328	547.2734332
329	547.0108277
330	546.7724174
331	546.0447709
332	545.7379504
333	545.4436166
334	544.9122313
335	544.6065943
336	544.3155453
337	544.0242146
338	543.7287006
339	542.8072799
340	542.4483275
341	542.0161436
342	541.5440008
343	541.0648018
344	540.7704383
345	540.2579609
346	539.8281026
347	539.3321021
348	539.0670754
349	538.7256326
350	538.2841778
351	537.9677279
352	537.5680838
353	537.3581366
354	537.0484676
355	536.679732
356	536.4424718
357	536.1694897
358	535.8734979
359	535.6619281
360	535.4717301
361	534.994524
362	534.6877052
363	534.3736413
364	534.0185426
365	533.5613965
366	533.3198369
367	532.9100791
368	532.6521363
369	532.2633878
370	531.8232377
371	531.443272
372	531.1237107
373	530.8524497
374	530.7429674
375	530.4958386
376	530.1278926
377	529.8717211
378	529.3093528
379	528.9397348
380	528.4510642
381	528.0546247
382	527.4735768
383	527.0616635
384	526.344903
385	525.9197008
386	525.6845897
387	525.4420205
388	525.1266663
389	524.888944
390	524.6557574
391	524.2766725
392	523.9348437
393	523.6834604
394	523.5646177
395	523.334945
396	523.05799
397	522.7516203
398	522.4403652
399	522.113217
400	521.9127389
401	521.4779972
402	521.174418
403	520.6604726
404	520.4154316
405	520.1194721
406	519.8404668
407	519.5619277
408	519.1089645
409	518.6692712
410	518.1832225
411	517.9294274
412	517.722999
413	517.3393599
414	517.1321582
415	516.7466671
416	516.4153183
417	516.1253995
418	515.5894621
419	515.2314168
420	514.9602103
421	514.6285371
422	514.3539348
423	514.112406
424	513.9546784
425	513.6090591
426	513.2970914
427	512.9341915
428	512.6949406
429	512.3604337
430	511.9294752
431	511.3835847
432	510.9844017
433	510.6735544
434	510.2079078
435	509.9420015
436	509.7403363
437	509.2973248
438	508.76208
439	508.5106566
440	508.1591433
441	507.7993383
442	507.6351655
443	507.3479295
444	506.9719779
445	506.4294901
