iter	Passed	Remaining
0	155	155505
1	169	84647
2	181	60214
3	187	46583
4	193	38453
5	199	33106
6	206	29257
7	210	26064
8	213	23538
9	217	21517
10	220	19851
11	224	18458
12	227	17297
13	231	16280
14	234	15406
15	238	14637
16	241	13973
17	244	13362
18	248	12820
19	251	12328
20	254	11875
21	258	11474
22	261	11114
23	265	10783
24	268	10472
25	272	10199
26	275	9939
27	279	9688
28	282	9454
29	285	9236
30	289	9034
31	292	8841
32	295	8659
33	298	8493
34	302	8346
35	306	8201
36	309	8059
37	312	7923
38	316	7791
39	319	7670
40	323	7557
41	326	7445
42	330	7345
43	333	7250
44	337	7163
45	341	7074
46	345	6996
47	349	6924
48	352	6838
49	355	6754
50	359	6687
51	362	6612
52	366	6543
53	369	6477
54	373	6411
55	376	6346
56	380	6288
57	383	6227
58	386	6165
59	390	6110
60	393	6056
61	396	6005
62	400	5959
63	404	5909
64	407	5861
65	410	5813
66	414	5766
67	417	5721
68	420	5676
69	424	5633
70	427	5589
71	430	5552
72	434	5515
73	437	5477
74	440	5438
75	444	5399
76	447	5365
77	451	5331
78	454	5296
79	457	5260
80	460	5229
81	464	5196
82	467	5165
83	471	5136
84	474	5103
85	477	5072
86	480	5044
87	483	5015
88	487	4989
89	490	4961
90	494	4938
91	498	4918
92	502	4897
93	505	4874
94	509	4851
95	512	4829
96	516	4812
97	520	4788
98	523	4765
99	526	4742
100	530	4720
101	533	4700
102	537	4678
103	540	4657
104	543	4634
105	547	4614
106	550	4596
107	554	4576
108	557	4558
109	561	4541
110	564	4523
111	568	4505
112	571	4487
113	575	4469
114	578	4450
115	581	4433
116	585	4416
117	588	4399
118	592	4383
119	595	4368
120	599	4353
121	602	4336
122	606	4321
123	609	4304
124	612	4288
125	616	4273
126	619	4258
127	622	4242
128	626	4227
129	629	4212
130	632	4198
131	636	4184
132	639	4170
133	643	4155
134	646	4141
135	649	4127
136	653	4116
137	656	4102
138	660	4090
139	663	4076
140	667	4064
141	671	4054
142	674	4042
143	679	4038
144	682	4026
145	686	4014
146	689	4003
147	693	3994
148	697	3986
149	701	3974
150	705	3965
151	709	3957
152	713	3947
153	716	3935
154	719	3923
155	723	3912
156	726	3901
157	730	3891
158	733	3881
159	737	3871
160	740	3860
161	744	3849
162	747	3839
163	750	3827
164	754	3817
165	757	3806
166	761	3796
167	764	3785
168	767	3775
169	771	3767
170	774	3757
171	778	3746
172	781	3736
173	784	3726
174	788	3716
175	791	3706
176	795	3697
177	798	3687
178	801	3678
179	805	3669
180	809	3661
181	812	3652
182	815	3641
183	819	3633
184	822	3622
185	825	3612
186	828	3603
187	832	3593
188	836	3588
189	840	3582
190	843	3573
191	847	3564
192	850	3556
193	854	3549
194	858	3542
195	861	3533
196	865	3526
197	868	3518
198	871	3509
199	875	3500
200	878	3492
201	882	3485
202	885	3476
203	888	3468
204	892	3459
205	895	3451
206	899	3446
207	903	3441
208	907	3433
209	910	3426
210	914	3419
211	917	3412
212	921	3404
213	924	3397
214	928	3390
215	931	3382
216	935	3375
217	939	3368
