Time from Pickup to Arrival,Order No
1429,Order_No_19248
1843,Order_No_12736
1716,Order_No_768
959,Order_No_15332
785,Order_No_21373
2436,Order_No_14573
2638,Order_No_6731
1343,Order_No_18436
1863,Order_No_2288
2307,Order_No_9063
551,Order_No_4814
2711,Order_No_16747
1260,Order_No_6376
1631,Order_No_1199
1409,Order_No_17119
1226,Order_No_14832
1096,Order_No_12321
1762,Order_No_24820
1575,Order_No_6065
1652,Order_No_13176
117,Order_No_23557
2344,Order_No_20488
1227,Order_No_24214
77,Order_No_21206
751,Order_No_1930
1805,Order_No_28180
775,Order_No_13329
824,Order_No_19004
2627,Order_No_27510
1567,Order_No_25394
3042,Order_No_11299
1992,Order_No_21269
1839,Order_No_3565
1433,Order_No_6473
580,Order_No_6258
1924,Order_No_27480
2195,Order_No_23302
1089,Order_No_16731
2942,Order_No_21353
1669,Order_No_10610
1016,Order_No_5930
2095,Order_No_5171
2340,Order_No_21590
1359,Order_No_643
839,Order_No_6308
1309,Order_No_16885
2101,Order_No_5421
2134,Order_No_21864
797,Order_No_11618
2479,Order_No_27514
1343,Order_No_26356
1238,Order_No_20174
3382,Order_No_23193
1411,Order_No_17568
1664,Order_No_25549
584,Order_No_23942
1318,Order_No_25817
3185,Order_No_16582
1364,Order_No_25259
1031,Order_No_7311
1216,Order_No_6198
2020,Order_No_18810
1103,Order_No_26162
1302,Order_No_4192
1011,Order_No_28224
398,Order_No_15612
2202,Order_No_21556
1271,Order_No_15698
2096,Order_No_2619
1643,Order_No_10710
2312,Order_No_17906
1421,Order_No_24831
2837,Order_No_15312
1321,Order_No_17599
965,Order_No_8759
2263,Order_No_18102
2295,Order_No_19596
1402,Order_No_18174
1904,Order_No_18641
849,Order_No_7568
1516,Order_No_23561
430,Order_No_21212
4012,Order_No_19352
1882,Order_No_13038
1287,Order_No_14688
1028,Order_No_5155
1083,Order_No_26963
2771,Order_No_25662
1512,Order_No_22324
1282,Order_No_4080
1806,Order_No_2551
1612,Order_No_6576
2010,Order_No_23150
1470,Order_No_12488
759,Order_No_14209
1963,Order_No_14944
1374,Order_No_105
2371,Order_No_6400
535,Order_No_23670
3579,Order_No_11927
2894,Order_No_672
1338,Order_No_24305
550,Order_No_23438
1656,Order_No_11297
944,Order_No_25875
1874,Order_No_2483
2514,Order_No_22525
899,Order_No_85
309,Order_No_25252
1987,Order_No_16007
2075,Order_No_10988
3323,Order_No_15321
1159,Order_No_16080
424,Order_No_11090
1360,Order_No_21090
1635,Order_No_1621
2387,Order_No_24456
1342,Order_No_5036
1270,Order_No_15675
1686,Order_No_5672
492,Order_No_4333
879,Order_No_20768
